File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,16.0,8.4362,31.9711,24.8583,48.1,6.42,279.7,0.5920000000000001,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,17.0,8.4547,31.9846,24.8661,48.2,6.42,279.8,0.613,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,18.0,8.4659,31.991999999999997,24.8702,48.2,6.42,279.5,0.604,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,19.1,8.4916,32.0101,24.8806,48.2,6.41,279.3,0.6509999999999999,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,20.0,8.5076,32.0219,24.8875,48.3,6.43,279.9,0.6559999999999999,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,21.0,8.555,32.0595,24.9099,48.2,6.44,280.3,0.677,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,22.0,8.6808,32.1418,24.9554,48.2,6.44,280.6,0.6890000000000001,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,23.0,8.7166,32.1767,24.9773,48.4,6.44,280.3,0.6940000000000001,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,24.0,8.7351,32.2159,25.0052,48.8,6.43,279.9,0.696,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,25.0,8.7606,32.2505,25.0284,49.3,6.43,279.9,0.687,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,26.1,8.7649,32.2572,25.033,49.4,6.42,279.7,0.685,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,27.3,8.7711,32.2732,25.0446,49.7,6.39,278.3,0.652,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,28.0,8.7763,32.2909,25.0577,50.0,6.37,277.3,0.624,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,29.0,8.7496,32.3257,25.089000000000002,50.5,6.32,275.1,0.583,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,30.0,8.7527,32.3418,25.1011,50.6,6.23,271.1,0.574,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,31.0,8.7569,32.3449,25.1029,50.4,6.11,266.3,0.5710000000000001,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,32.0,8.7357,32.3515,25.1113,50.5,6.02,262.1,0.53,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,33.0,8.6631,32.3786,25.1436,50.5,5.95,258.9,0.441,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,34.0,8.6109,32.408,25.1745,50.2,5.89,256.6,0.389,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,35.0,8.6017,32.4269,25.1907,50.1,5.86,255.4,0.33299999999999996,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,35.8,8.6036,32.4308,25.1934,50.1,5.84,254.3,0.336,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,37.5,8.6343,32.4475,25.2019,50.4,5.68,247.2,0.304,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,38.0,8.6493,32.4662,25.2143,50.5,5.65,246.1,0.28300000000000003,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,39.0,8.6715,32.4949,25.2334,50.7,5.59,243.4,0.252,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,40.0,8.6844,32.525,25.255,50.7,5.55,241.5,0.22399999999999998,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,41.1,8.7,32.56,25.28,50.8,5.52,240.4,0.201,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,41.9,8.7207,32.5851,25.2965,50.9,5.53,240.8,0.198,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,43.0,8.8558,32.671,25.3431,51.6,5.54,241.0,0.18600000000000003,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,44.0,8.9239,32.7027,25.3574,52.1,5.53,240.6,0.163,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,45.0,8.9296,32.7103,25.3624,52.2,5.51,239.9,0.16,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,46.0,8.9252,32.7165,25.368000000000002,52.0,5.49,239.2,0.157,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,47.0,8.9373,32.7483,25.391,52.0,5.48,238.5,0.149,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,48.0,8.9478,32.7662,25.4034,52.0,5.46,237.8,0.146,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,49.0,8.9869,32.7937,25.4188,52.1,5.44,236.8,0.14,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,50.1,9.0325,32.8243,25.4356,52.3,5.41,235.5,0.132,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,50.9,9.051,32.8496,25.4526,52.4,5.34,232.5,0.127,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,52.0,9.0652,32.8952,25.486,52.4,5.26,229.2,0.128,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,53.0,9.0619,32.9183,25.5046,52.4,5.21,226.9,0.121,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,54.0,9.0536,32.9473,25.5286,52.4,5.17,225.0,0.11699999999999999,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,55.0,9.0473,32.9654,25.5438,52.3,5.13,223.4,0.12300000000000001,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,56.0,9.0413,32.9769,25.5537,52.3,5.11,222.5,0.114,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,57.0,9.0326,32.989000000000004,25.5645,52.2,5.09,221.6,0.109,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,57.8,9.0291,32.9937,25.5687,52.2,5.05,219.9,0.11,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,59.0,9.0225,33.0066,25.5799,52.2,4.99,217.0,0.11,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,60.0,9.0164,33.0136,25.5863,52.2,4.95,215.3,0.109,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,61.0,9.0028,33.0312,25.6022,52.2,4.91,213.7,0.111,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,62.0,8.9865,33.0466,25.6168,52.1,4.87,212.2,0.10400000000000001,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,63.0,8.9745,33.0561,25.6261,52.0,4.83,210.3,0.102,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,64.0,8.9559,33.0712,25.6409,51.9,4.78,208.2,0.09699999999999999,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,65.0,8.9423,33.0804,25.6502,51.9,4.73,205.8,0.102,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,66.0,8.9221,33.0972,25.6665,51.8,4.68,203.6,0.1,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,67.0,8.8962,33.1219,25.6899,51.6,4.64,201.9,0.091,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,68.0,8.892000000000001,33.1331,25.6993,51.6,4.62,201.0,0.09,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,69.0,8.8597,33.1514,25.7186,51.5,4.61,200.6,0.092,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,70.2,8.833,33.1747,25.741,51.3,4.46,194.1,0.095,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,71.0,8.8085,33.1913,25.7578,51.1,4.43,192.6,0.091,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,72.0,8.7956,33.2007,25.7672,51.0,4.38,190.6,0.08199999999999999,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,73.0,8.79,33.2032,25.77,51.0,4.33,188.6,0.083,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,74.0,8.7749,33.2091,25.7769,50.9,4.28,186.4,0.081,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,75.0,8.7671,33.2157,25.7833,50.8,4.23,184.1,0.08,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,76.0,8.7097,33.2269,25.8009,50.7,4.18,181.9,0.081,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,77.0,8.5925,33.2666,25.85,50.2,4.13,179.7,0.079,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,78.0,8.568,33.2829,25.8665,49.8,4.07,177.1,0.076,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,79.0,8.5569,33.287,25.8714,49.7,3.99,173.8,0.076,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,80.0,8.5124,33.3066,25.8936,49.5,3.91,170.4,0.073,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,81.0,8.4256,33.3412,25.9338,49.0,3.84,167.1,0.07,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,82.0,8.3668,33.3712,25.9662,48.5,3.77,164.0,0.07200000000000001,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,83.0,8.3183,33.3988,25.9951,48.0,3.7,161.1,0.07400000000000001,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,84.0,8.2931,33.4097,26.0075,47.7,3.64,158.5,0.075,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,85.0,8.2471,33.4224,26.0243,46.8,3.58,155.9,0.073,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,86.1,8.1717,33.4502,26.0574,45.4,3.52,153.1,0.079,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,87.0,8.1386,33.4676,26.0759,44.6,3.45,150.1,0.076,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,88.0,8.115,33.4871,26.0947,44.2,3.4,147.8,0.071,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,89.0,8.106,33.4946,26.1019,44.0,3.36,146.2,0.073,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,90.0,8.0996,33.5015,26.1083,43.7,3.34,145.1,0.071,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,91.0,8.0904,33.5121,26.118000000000002,43.6,3.32,144.2,0.07,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,92.0,8.0878,33.5154,26.121,43.5,3.3,143.5,0.07,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,93.0,8.087,33.5166,26.122,43.5,3.29,142.9,0.075,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,94.1,8.0873,33.5175,26.1227,43.5,3.27,142.2,0.071,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,95.0,8.0863,33.5206,26.1253,43.6,3.24,141.0,0.069,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,96.0,8.084,33.5235,26.1279,44.1,3.22,140.0,0.07,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,97.0,8.0824,33.5256,26.1298,44.1,3.21,139.6,0.07,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,98.0,8.0802,33.5282,26.1321,44.0,3.2,139.2,0.069,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,99.0,8.0786,33.5297,26.1335,44.0,3.19,138.9,0.066,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,100.1,8.0768,33.5319,26.1355,43.9,3.18,138.4,0.069,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,101.0,8.0751,33.5337,26.1372,44.0,3.17,137.9,0.069,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,102.0,8.0699,33.5383,26.1416,43.5,3.15,137.2,0.067,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,104.0,8.0651,33.5427,26.1457,43.4,3.11,135.3,0.066,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,105.1,8.0562,33.5517,26.1541,42.8,3.1,134.9,0.069,
2007-01-0003.ctd,UTC,09/02/2007, 10:21,3,48.575829999999996,-125.49966,P1,105.8,8.055,33.5542,26.1563,42.7,3.1,134.8,0.07200000000000001,
